,create_time,text,retweets,favorites,text_clean,polarity,subjectivity,sentiment_2,keywords
0,2020-10-22 00:41:00,We're just days away from the end of the election. Help us bring it home by donating $20 today:… https://t.co/OAzXOecJyB,733,4221,days away end election help us bring home donating 20 today,0.0,0.0,neutral,election
1,2020-10-21 23:29:52,"545 children. 

This is outrageous and a stain on our national character. Families belong together. 
https://t.co/VsimNG653X",3100,17262,545 children outrageous stain national character families belong together,-1.0,1.0,negative,other
2,2020-10-21 22:51:39,"This is our moment to do something for our families, our communities, and our country. To protect our health care,… https://t.co/smVruYn7j1",982,5514,moment something families communities country protect health care,0.0,0.0,neutral,other
3,2020-10-21 21:47:21,.@BarackObama knows that the election is happening right now and winning will require all of us coming together. Tu… https://t.co/uxFYEQF99W,1621,9163,barackobama knows election happening right winning require us coming together tu,0.39285714285714285,0.6428571428571428,positive,election
4,2020-10-21 20:21:01,RT @JoeBiden: Tune in as @BarackObama sits down with community leaders in Philadelphia to talk about what’s at stake in this election. http…,4097,0,rt joebiden tune barackobama sits community leaders philadelphia talk whats stake election,-0.15555555555555559,0.2888888888888889,negative,election
5,2020-10-21 20:14:19,Every issue we care about is on the ballot in this election. https://t.co/u5sYYRzSVC,3001,17024,every issue care ballot election,0.0,0.0,neutral,election
6,2020-10-21 17:53:10,.@JoeBiden and I want to get your kids back to school as quickly and safely as possible. This starts with masks and… https://t.co/iSbFxBWi8a,6707,46596,joebiden want get kids back school quickly safely possible starts masks,0.1111111111111111,0.5,positive,other
7,2020-10-21 17:52:37,"RT @JoeBiden: Justice is on the ballot.

https://t.co/eoxT07uII9 https://t.co/0dg9Cg1f2i",4881,0,rt joebiden justice ballot,0.0,0.0,neutral,other
8,2020-10-21 15:48:43,"With only 13 days to go until Election Day, I’m in Asheville, North Carolina for a “get out the vote” event. Tune i… https://t.co/51UEA2QDkn",1271,7844,13 days go election day im asheville north carolina get vote event tune,0.0,1.0,neutral,election
9,2020-10-21 15:02:16,"How will I ever be able to top yesterday’s birthday? 

A big thank you to @DonCheadle, @ChrisEvans, @MarkRuffalo,… https://t.co/nRkPJd2bDa",2750,37770,ever able top yesterdays birthday big thank doncheadle chrisevans markruffalo,0.3333333333333333,0.4083333333333334,positive,other
10,2020-10-21 13:41:14,.@DouglasEmhoff and I made a plan to vote early by mail. What’s your plan? https://t.co/vD0MYMlMnY,4507,32236,douglasemhoff made plan vote early mail whats plan,0.1,0.3,positive,other
