,create_time,text,retweets,favorites,word_tokens,text_clean,polarity,subjectivity,sentiment_2,keywords
0,2020-10-21 22:41:26,"Exclusive: Forgotten by Obama-Biden Auto Bailout, Delphi Workers Refuse to Forget What Was Taken from Them (Part On… https://t.co/SxT1MJO1nE",6171,18497.0,17,exclusive forgotten auto bailout delphi workers refuse forget taken part,0.0,0.0,neutral,other
1,2020-10-21 22:41:19,Multiple Pro-Trump Demonstrations Planned in Cincinnati Area https://t.co/jjMeB9Hba0 via @BreitbartNews,6555,26744.0,9,multiple demonstrations planned cincinnati area via breitbartnews,0.0,0.0,neutral,other
2,2020-10-21 22:33:24,Pennsylvania Trump Voters Show Passion: ‘He‘s a Man that Wants to Do It All for America‘ https://t.co/1oYXtzAyhT via @BreitbartNews,6033,24106.0,20,pennsylvania trump voters show passion hes man wants america via breitbartnews,0.2,0.1,positive,other
3,2020-10-21 22:31:37,WSJ Editorial Board: Joe Biden Must Answer Questions About Hunter Biden and China https://t.co/pF2M9i9OSu via @BreitbartNews,9732,29527.0,16,wsj editorial board joe biden must answer questions hunter biden china via breitbartnews,0.0,0.0,neutral,other
4,2020-10-21 21:57:10,See you soon North Carolina! https://t.co/MWfyg4ux69 https://t.co/hfbrBTgu15,6711,33761.0,7,see soon north carolina,0.0,0.0,neutral,other
5,2020-10-21 21:31:32,....Should take care of our people. It wasn’t their fault that the Plague came in from China!,11284,57062.0,18,take care people wasnt fault plague came china,0.0,0.0,neutral,other
6,2020-10-21 21:31:31,Just don’t see any way Nancy Pelosi and Cryin’ Chuck Schumer will be willing to do what is right for our great Amer… https://t.co/Pg1LrAiDQ4,19578,75793.0,24,dont see way nancy pelosi cryin chuck schumer willing right great amer,0.44523809523809527,0.6785714285714285,positive,other
7,2020-10-21 20:52:20,Michelle Fischbach (@FischbachMN7) is running for Congress in Minnesota. She Strongly Supports our Brave Law Enforc… https://t.co/PGYd9wFmQ4,5323,19502.0,15,michelle fischbach fischbachmn7 running congress minnesota strongly supports brave law enforc,0.6166666666666667,0.8666666666666667,positive,other
8,2020-10-21 20:51:58,".@JimOberweis will be a terrific Congressman for Illinois! A successful businessman, he will Create Jobs, Lower Tax… https://t.co/ECMbHkuBuq",5050,18996.0,17,jimoberweis terrific congressman illinois successful businessman create jobs lower tax,0.375,0.975,positive,other
9,2020-10-21 20:51:40,Eric Esshaki (@EsshakiCongress) will be a tremendous advocate for Michigan and the first Chaldean in Congress! He w… https://t.co/QWJYyT68HR,4382,16435.0,18,eric esshaki esshakicongress tremendous advocate michigan first chaldean congress w,0.32291666666666663,0.6666666666666666,positive,other
10,2020-10-21 20:51:09,Paul Junge (@VotePaulJunge) will be a great Congressman for Michigan! He helped Secure our Border in my Administrat… https://t.co/rffY1BtOFT,4157,15871.0,18,paul junge votepauljunge great congressman michigan helped secure border administrat,0.7,0.675,positive,other
11,2020-10-21 20:50:51,"Jim Marchant (@VoteJimMarchant) will be an incredible Congressman for Nevada! Unlike his Radical Left opponent, Jim… https://t.co/XxXxGO0wJO",3959,14953.0,16,jim marchant votejimmarchant incredible congressman nevada unlike radical left opponent jim,0.5,0.45,positive,other
12,2020-10-21 20:50:26,".@DanRodimer will be an incredible Congressman for Nevada! A former professional wrestler, he will fight for Lower… https://t.co/8rLQbABR2u",7595,28661.0,17,danrodimer incredible congressman nevada former professional wrestler fight lower,0.3666666666666667,0.3333333333333333,positive,other
13,2020-10-21 20:50:01,Congresswoman @EliseStefanik is doing a terrific job for New York! She fiercely defends us and exposes the Radical… https://t.co/63Hx8cLN0s,5974,23785.0,18,congresswoman elisestefanik terrific job new york fiercely defends us exposes radical,0.08522727272727272,0.7272727272727273,positive,other
14,2020-10-21 20:49:40,Congressman @BryanSteil is doing a great job for the people of Wisconsin! He fights hard for Wisconsin’s Incredible… https://t.co/FgsSacZxKt,3944,15325.0,19,congressman bryansteil great job people wisconsin fights hard wisconsins incredible,0.35416666666666663,0.6458333333333333,positive,other
15,2020-10-21 20:49:18,"Congressman Darin LaHood (@ElectLaHood) is a fighter for Illinois! A strong supporter of our #MAGA agenda, he is he… https://t.co/bdPKbT2sNS",4066,16077.0,19,congressman darin lahood electlahood fighter illinois strong supporter maga agenda,0.4333333333333333,0.7333333333333333,positive,other
16,2020-10-21 20:48:51,Congressman Ken Buck (@BuckForColorado) is a champion for the incredible People of Colorado! He is Strong on Law &amp;… https://t.co/XwC2gbbdJD,6905,27872.0,20,congressman ken buck buckforcolorado champion incredible people colorado strong law,0.7166666666666667,0.8166666666666667,positive,other
17,2020-10-21 20:48:32,"Senator @CindyHydeSmith delivers for Mississippi! She helped us Cut your Taxes, Secure our Border, and Defend the S… https://t.co/guT4ozru3e",4267,16532.0,18,senator cindyhydesmith delivers mississippi helped us cut taxes secure border defend,0.4,0.6,positive,other
18,2020-10-21 18:18:54,https://t.co/BvAeiZryqU,8799,42565.0,1,,0.0,0.0,neutral,other
19,2020-10-21 18:18:41,https://t.co/GCqnxrGxlh,8728,46580.0,1,,0.0,0.0,neutral,other
20,2020-10-21 18:18:26,https://t.co/whEB2U37MI,12438,72625.0,1,,0.0,0.0,neutral,other
21,2020-10-21 18:17:45,Kayleigh McEnany presenting Lesley Stahl (@60Minutes) with some of the many things we’ve done for Healthcare. Lesle… https://t.co/2aUpPjY6NF,19865,70221.0,17,kayleigh mcenany presenting lesley stahl 60minutes many things weve done healthcare lesle,0.5,0.5,positive,other
22,2020-10-21 15:52:20,https://t.co/MO0tx94Ykn,59252,263448.0,1,,0.0,0.0,neutral,other
23,2020-10-21 14:38:07,Your 401k’s will crash with Biden. Massive Biden Tax and Regulation increases will destroy all that you have built!… https://t.co/9793Ja7HPD,34518,138517.0,20,401ks crash biden massive biden tax regulation increases destroy built,-0.1,0.5,negative,other
24,2020-10-21 12:54:12,"Remember, BIDEN is going to raise your taxes at a level never seen before. This will not only be very costly for yo… https://t.co/2BDdWoV2fu",49727,221900.0,23,remember biden going raise taxes level never seen costly yo,0.1,0.65,positive,other
25,2020-10-21 12:28:58,Great interview Eric! https://t.co/MRxG49YT8Q,17562,64583.0,4,great interview eric,1.0,0.75,positive,other
26,2020-10-21 12:27:19,RT @JennPellegrino: Can’t wait to watch!,6136,96763.49,7,rt jennpellegrino cant wait watch,0.0,0.0,neutral,other
27,2020-10-21 12:26:19,RT @JennPellegrino: Trump on Biden’s press lids: “They put a lid... a lid like a garbage can”,7383,96763.49,18,rt jennpellegrino trump bidens press lids put lid lid like garbage,0.0,0.0,neutral,other
28,2020-10-21 12:25:15,RT @OANN: A career politician and the President of the United States will go head to head for round two in the fight for the Oval Office.…,6034,96763.49,26,rt oann career politician president united states go head head round two fight oval office,-0.2,0.4,negative,other
